area,floorRange,propertyType,district,typeOfArea,tenure,street,project,marketSegment,property_key
44.0,06-10,Condominium,13,Strata,Freehold,MACPHERSON ROAD,SKY GREEN,RCR,p-e2c06bc28
70.0,06-10,Condominium,13,Strata,Freehold,MACPHERSON ROAD,SKY GREEN,RCR,p-f1c3ab368
108.0,11-15,Condominium,13,Strata,Freehold,MACPHERSON ROAD,SKY GREEN,RCR,p-ed0d303fc
70.0,11-15,Condominium,13,Strata,Freehold,MACPHERSON ROAD,SKY GREEN,RCR,p-e792a4bce
44.0,01-05,Condominium,13,Strata,Freehold,MACPHERSON ROAD,SKY GREEN,RCR,p-ae3aba8cb
108.0,01-05,Condominium,13,Strata,Freehold,MACPHERSON ROAD,SKY GREEN,RCR,p-45b03a7e0
43.0,06-10,Condominium,13,Strata,Freehold,MACPHERSON ROAD,SKY GREEN,RCR,p-c450fe1b7
108.0,06-10,Condominium,13,Strata,Freehold,MACPHERSON ROAD,SKY GREEN,RCR,p-97384d3fb
74.0,11-15,Condominium,13,Strata,Freehold,MACPHERSON ROAD,SKY GREEN,RCR,p-1bfd2a797
139.0,06-10,Condominium,13,Strata,Freehold,MACPHERSON ROAD,SKY GREEN,RCR,p-c85643dc7
107.0,11-15,Condominium,13,Strata,Freehold,MACPHERSON ROAD,SKY GREEN,RCR,p-351d6988f
69.0,11-15,Condominium,13,Strata,Freehold,MACPHERSON ROAD,SKY GREEN,RCR,p-3aa88f55a
788.0,01-05,Apartment,9,Strata,Freehold,SOPHIA ROAD,SOPHIA VIEW,CCR,p-93b452bdf
187.0,06-10,Condominium,10,Strata,999 yrs lease commencing from 1885,MOUNT SINAI DRIVE,RIDGEWOOD,CCR,p-266506cad
162.0,16-20,Condominium,10,Strata,999 yrs lease commencing from 1885,MOUNT SINAI DRIVE,RIDGEWOOD,CCR,p-5cbec7c90
162.0,21-25,Condominium,10,Strata,999 yrs lease commencing from 1885,MOUNT SINAI DRIVE,RIDGEWOOD,CCR,p-e597ea14b
186.0,01-05,Condominium,10,Strata,999 yrs lease commencing from 1885,MOUNT SINAI DRIVE,RIDGEWOOD,CCR,p-f37d65e0d
328.0,01-05,Condominium,10,Strata,999 yrs lease commencing from 1885,MOUNT SINAI DRIVE,RIDGEWOOD,CCR,p-07ba780db
265.0,-,Strata Terrace,10,Strata,999 yrs lease commencing from 1885,MOUNT SINAI DRIVE,RIDGEWOOD,CCR,p-e387b6d64
162.0,11-15,Condominium,10,Strata,999 yrs lease commencing from 1885,MOUNT SINAI DRIVE,RIDGEWOOD,CCR,p-66474e1b7
186.0,11-15,Condominium,10,Strata,999 yrs lease commencing from 1885,MOUNT SINAI DRIVE,RIDGEWOOD,CCR,p-19e5b26c8
130.0,16-20,Condominium,10,Strata,999 yrs lease commencing from 1885,MOUNT SINAI DRIVE,RIDGEWOOD,CCR,p-487ec22a2
162.0,01-05,Condominium,10,Strata,999 yrs lease commencing from 1885,MOUNT SINAI DRIVE,RIDGEWOOD,CCR,p-8374c939f
186.0,16-20,Condominium,10,Strata,999 yrs lease commencing from 1885,MOUNT SINAI DRIVE,RIDGEWOOD,CCR,p-5982358ec
112.0,11-15,Condominium,10,Strata,999 yrs lease commencing from 1885,MOUNT SINAI DRIVE,RIDGEWOOD,CCR,p-b654f06dc
130.0,11-15,Condominium,10,Strata,999 yrs lease commencing from 1885,MOUNT SINAI DRIVE,RIDGEWOOD,CCR,p-856c97cb1
330.0,01-05,Condominium,10,Strata,999 yrs lease commencing from 1885,MOUNT SINAI DRIVE,RIDGEWOOD,CCR,p-9c3563ac9
174.0,06-10,Condominium,10,Strata,999 yrs lease commencing from 1885,MOUNT SINAI DRIVE,RIDGEWOOD,CCR,p-a87804f41
318.0,01-05,Condominium,10,Strata,999 yrs lease commencing from 1885,MOUNT SINAI DRIVE,RIDGEWOOD,CCR,p-ddbaaca1e
184.0,01-05,Condominium,10,Strata,999 yrs lease commencing from 1885,MOUNT SINAI DRIVE,RIDGEWOOD,CCR,p-f89033b37
209.0,01-05,Condominium,10,Strata,999 yrs lease commencing from 1885,MOUNT SINAI DRIVE,RIDGEWOOD,CCR,p-2fc0c2a1b
206.0,01-05,Condominium,10,Strata,999 yrs lease commencing from 1885,MOUNT SINAI DRIVE,RIDGEWOOD,CCR,p-9d38eac29
112.0,06-10,Condominium,10,Strata,999 yrs lease commencing from 1885,MOUNT SINAI DRIVE,RIDGEWOOD,CCR,p-ca9973453
127.0,01-05,Apartment,11,Strata,Freehold,SHELFORD ROAD,D'CHATEAU @ SHELFORD,CCR,p-341688589
85.0,01-05,Apartment,11,Strata,Freehold,SHELFORD ROAD,D'CHATEAU @ SHELFORD,CCR,p-bb0275402
72.0,01-05,Apartment,11,Strata,Freehold,SHELFORD ROAD,D'CHATEAU @ SHELFORD,CCR,p-91f85260f
266.0,01-05,Apartment,11,Strata,Freehold,SHELFORD ROAD,D'CHATEAU @ SHELFORD,CCR,p-f5b2712f3
150.0,01-05,Apartment,11,Strata,Freehold,SHELFORD ROAD,D'CHATEAU @ SHELFORD,CCR,p-7c2739672
190.0,01-05,Condominium,11,Strata,999 yrs lease commencing from 1878,SWISS VIEW,LA SUISSE,CCR,p-592429297
173.5,-,Terrace,11,Land,999 yrs lease commencing from 1878,SWISS VIEW,LA SUISSE,CCR,p-5711cbf9c
243.0,01-05,Condominium,11,Strata,999 yrs lease commencing from 1878,SWISS VIEW,LA SUISSE,CCR,p-7909a584f
198.0,01-05,Condominium,11,Strata,999 yrs lease commencing from 1878,SWISS VIEW,LA SUISSE,CCR,p-47f1b0051
372.5,-,Terrace,11,Land,999 yrs lease commencing from 1878,SWISS VIEW,LA SUISSE,CCR,p-acda2fc31
195.0,01-05,Condominium,11,Strata,999 yrs lease commencing from 1878,SWISS VIEW,LA SUISSE,CCR,p-59d37ed65
262.2,-,Terrace,11,Land,999 yrs lease commencing from 1878,SWISS VIEW,LA SUISSE,CCR,p-21d811b81
173.7,-,Terrace,11,Land,999 yrs lease commencing from 1878,SWISS VIEW,LA SUISSE,CCR,p-171c27afb
154.0,01-05,Condominium,11,Strata,999 yrs lease commencing from 1878,SWISS VIEW,LA SUISSE,CCR,p-d652ec0e5
156.0,01-05,Condominium,11,Strata,999 yrs lease commencing from 1878,SWISS VIEW,LA SUISSE,CCR,p-c477783b4
174.0,-,Terrace,11,Land,999 yrs lease commencing from 1878,SWISS VIEW,LA SUISSE,CCR,p-190db37dc
175.2,-,Terrace,11,Land,999 yrs lease commencing from 1878,SWISS VIEW,LA SUISSE,CCR,p-cbcb36ec2
173.6,-,Terrace,11,Land,999 yrs lease commencing from 1878,SWISS VIEW,LA SUISSE,CCR,p-59b7a54f1
196.0,01-05,Condominium,11,Strata,999 yrs lease commencing from 1878,SWISS VIEW,LA SUISSE,CCR,p-9ad571f55
380.0,06-10,Condominium,11,Strata,999 yrs lease commencing from 1878,SWISS VIEW,LA SUISSE,CCR,p-afc48b10e
172.9,-,Terrace,11,Land,999 yrs lease commencing from 1878,SWISS VIEW,LA SUISSE,CCR,p-fc0120c48
270.0,01-05,Apartment,10,Strata,Freehold,HOLLAND ROAD,BOTANIKA,CCR,p-44c867973
306.0,01-05,Apartment,10,Strata,Freehold,HOLLAND ROAD,BOTANIKA,CCR,p-5826588b9
242.0,01-05,Apartment,10,Strata,Freehold,HOLLAND ROAD,BOTANIKA,CCR,p-f33058cfe
114.0,01-05,Apartment,14,Strata,Freehold,LORONG 14 GEYLANG,WING FONG MANSIONS/WING FONG COURT,RCR,p-7e39dc630
105.0,01-05,Apartment,14,Strata,Freehold,LORONG 14 GEYLANG,WING FONG MANSIONS/WING FONG COURT,RCR,p-723e21605
118.0,01-05,Apartment,14,Strata,Freehold,LORONG 14 GEYLANG,WING FONG MANSIONS/WING FONG COURT,RCR,p-3b440b90f
115.0,01-05,Apartment,14,Strata,Freehold,LORONG 14 GEYLANG,WING FONG MANSIONS/WING FONG COURT,RCR,p-c02ef8141
99.0,01-05,Apartment,14,Strata,Freehold,LORONG 14 GEYLANG,WING FONG MANSIONS/WING FONG COURT,RCR,p-5351f1773
108.0,01-05,Apartment,14,Strata,Freehold,LORONG 14 GEYLANG,WING FONG MANSIONS/WING FONG COURT,RCR,p-efe7c8dd2
68.0,01-05,Apartment,14,Strata,Freehold,LORONG 14 GEYLANG,WING FONG MANSIONS/WING FONG COURT,RCR,p-4374df8e1
105.0,06-10,Apartment,14,Strata,Freehold,LORONG 14 GEYLANG,WING FONG MANSIONS/WING FONG COURT,RCR,p-9dff40916
87.0,01-05,Apartment,14,Strata,Freehold,LORONG 14 GEYLANG,WING FONG MANSIONS/WING FONG COURT,RCR,p-10904e271
66.0,01-05,Apartment,14,Strata,Freehold,LORONG 14 GEYLANG,WING FONG MANSIONS/WING FONG COURT,RCR,p-5f01dcbc2
98.0,01-05,Apartment,14,Strata,Freehold,LORONG 14 GEYLANG,WING FONG MANSIONS/WING FONG COURT,RCR,p-0ea0d9857
121.0,06-10,Apartment,11,Strata,Freehold,SUFFOLK ROAD,THE SPINNAKER,CCR,p-4dead83d6
124.0,01-05,Apartment,11,Strata,Freehold,SUFFOLK ROAD,THE SPINNAKER,CCR,p-6fdaedcc2
118.0,11-15,Apartment,11,Strata,Freehold,SUFFOLK ROAD,THE SPINNAKER,CCR,p-fb0be7fc1
125.0,11-15,Apartment,11,Strata,Freehold,SUFFOLK ROAD,THE SPINNAKER,CCR,p-4d06a618d
212.0,11-15,Apartment,11,Strata,Freehold,SUFFOLK ROAD,THE SPINNAKER,CCR,p-5f8ac0837
119.0,06-10,Apartment,11,Strata,Freehold,SUFFOLK ROAD,THE SPINNAKER,CCR,p-643bcdc12
119.0,06-10,Apartment,9,Strata,Freehold,PATERSON ROAD,THE PATERSON EDGE,CCR,p-179f08615
92.0,06-10,Apartment,9,Strata,Freehold,PATERSON ROAD,THE PATERSON EDGE,CCR,p-cff7185e1
78.0,01-05,Apartment,9,Strata,Freehold,PATERSON ROAD,THE PATERSON EDGE,CCR,p-ff9ce2a13
78.0,06-10,Apartment,9,Strata,Freehold,PATERSON ROAD,THE PATERSON EDGE,CCR,p-dc1c36afb
119.0,01-05,Apartment,9,Strata,Freehold,PATERSON ROAD,THE PATERSON EDGE,CCR,p-89bd00f68
92.0,01-05,Apartment,9,Strata,Freehold,PATERSON ROAD,THE PATERSON EDGE,CCR,p-2f8dbdd12
150.0,06-10,Apartment,9,Strata,Freehold,PATERSON ROAD,THE PATERSON EDGE,CCR,p-1f07e7f8a
94.0,06-10,Apartment,9,Strata,Freehold,PATERSON ROAD,THE PATERSON EDGE,CCR,p-407a5f2a3
422.0,01-05,Apartment,10,Strata,Freehold,NASSIM HILL,RESIDENTIAL APARTMENTS,CCR,p-22ec2fadc
391.0,01-05,Apartment,10,Strata,Freehold,NASSIM HILL,RESIDENTIAL APARTMENTS,CCR,p-b33e54e59
88.0,01-05,Apartment,10,Strata,Freehold,JERVOIS ROAD,JERVOIS REGENCY,CCR,p-f0e6d8297
231.0,01-05,Apartment,10,Strata,Freehold,JERVOIS ROAD,JERVOIS REGENCY,CCR,p-931a1ee4d
91.0,01-05,Apartment,10,Strata,Freehold,JERVOIS ROAD,JERVOIS REGENCY,CCR,p-fa6841401
92.0,01-05,Apartment,10,Strata,Freehold,JERVOIS ROAD,JERVOIS REGENCY,CCR,p-9f4b980ad
118.0,01-05,Apartment,10,Strata,Freehold,JERVOIS ROAD,JERVOIS REGENCY,CCR,p-d2c4fc286
96.0,01-05,Apartment,10,Strata,Freehold,JERVOIS ROAD,JERVOIS REGENCY,CCR,p-67fb588d1
176.0,01-05,Apartment,10,Strata,Freehold,JERVOIS ROAD,JERVOIS REGENCY,CCR,p-d1bb4cee8
178.0,01-05,Apartment,10,Strata,Freehold,JERVOIS ROAD,JERVOIS REGENCY,CCR,p-cd614747c
210.0,11-15,Condominium,10,Strata,Freehold,ORCHARD BOULEVARD,3 ORCHARD BY-THE-PARK,CCR,p-3882c78c7
99.0,06-10,Condominium,10,Strata,Freehold,ORCHARD BOULEVARD,3 ORCHARD BY-THE-PARK,CCR,p-fa5db9d28
99.0,01-05,Condominium,10,Strata,Freehold,ORCHARD BOULEVARD,3 ORCHARD BY-THE-PARK,CCR,p-6cb29eb93
210.0,21-25,Condominium,10,Strata,Freehold,ORCHARD BOULEVARD,3 ORCHARD BY-THE-PARK,CCR,p-d2ee197c3
107.0,06-10,Condominium,10,Strata,Freehold,ORCHARD BOULEVARD,3 ORCHARD BY-THE-PARK,CCR,p-4e6923aee
609.0,21-25,Condominium,10,Strata,Freehold,ORCHARD BOULEVARD,3 ORCHARD BY-THE-PARK,CCR,p-5c2ad70d6
210.0,16-20,Condominium,10,Strata,Freehold,ORCHARD BOULEVARD,3 ORCHARD BY-THE-PARK,CCR,p-cf111982c
165.0,21-25,Condominium,10,Strata,Freehold,ORCHARD BOULEVARD,3 ORCHARD BY-THE-PARK,CCR,p-c44d82a79
108.0,01-05,Condominium,10,Strata,Freehold,ORCHARD BOULEVARD,3 ORCHARD BY-THE-PARK,CCR,p-858c8ac3c
107.0,01-05,Condominium,10,Strata,Freehold,ORCHARD BOULEVARD,3 ORCHARD BY-THE-PARK,CCR,p-8f178ea78
165.0,16-20,Condominium,10,Strata,Freehold,ORCHARD BOULEVARD,3 ORCHARD BY-THE-PARK,CCR,p-532d15164
165.0,11-15,Condominium,10,Strata,Freehold,ORCHARD BOULEVARD,3 ORCHARD BY-THE-PARK,CCR,p-dbff860a1
641.0,21-25,Condominium,10,Strata,Freehold,ORCHARD BOULEVARD,3 ORCHARD BY-THE-PARK,CCR,p-5d74c1fa9
173.0,11-15,Condominium,10,Strata,Freehold,ORCHARD BOULEVARD,3 ORCHARD BY-THE-PARK,CCR,p-ed0c77578
165.0,06-10,Condominium,10,Strata,Freehold,ORCHARD BOULEVARD,3 ORCHARD BY-THE-PARK,CCR,p-5b29701a4
173.0,21-25,Condominium,10,Strata,Freehold,ORCHARD BOULEVARD,3 ORCHARD BY-THE-PARK,CCR,p-fff0cbddc
173.0,16-20,Condominium,10,Strata,Freehold,ORCHARD BOULEVARD,3 ORCHARD BY-THE-PARK,CCR,p-e89ef46f6
165.0,01-05,Condominium,10,Strata,Freehold,ORCHARD BOULEVARD,3 ORCHARD BY-THE-PARK,CCR,p-4325ebc59
302.0,11-15,Condominium,10,Strata,Freehold,ORCHARD BOULEVARD,3 ORCHARD BY-THE-PARK,CCR,p-42532dad6
240.0,11-15,Condominium,10,Strata,Freehold,ORCHARD BOULEVARD,3 ORCHARD BY-THE-PARK,CCR,p-955c8dc3e
240.0,06-10,Condominium,10,Strata,Freehold,ORCHARD BOULEVARD,3 ORCHARD BY-THE-PARK,CCR,p-cf94ae43b
326.0,16-20,Condominium,10,Strata,Freehold,ORCHARD BOULEVARD,3 ORCHARD BY-THE-PARK,CCR,p-d13cf535f
302.0,01-05,Condominium,10,Strata,Freehold,ORCHARD BOULEVARD,3 ORCHARD BY-THE-PARK,CCR,p-0622b7c3d
210.0,06-10,Condominium,10,Strata,Freehold,ORCHARD BOULEVARD,3 ORCHARD BY-THE-PARK,CCR,p-b8a6ecf3d
176.0,-,Strata Terrace,10,Strata,Freehold,FERNHILL ROAD,FERNHILL COTTAGE,CCR,p-672f7615a
166.0,-,Strata Terrace,10,Strata,Freehold,FERNHILL ROAD,FERNHILL COTTAGE,CCR,p-1626e41ec
227.0,-,Strata Terrace,10,Strata,Freehold,FERNHILL ROAD,FERNHILL COTTAGE,CCR,p-264f5dbb6
90.0,26-30,Condominium,11,Strata,Freehold,LINCOLN ROAD,PARK INFINIA AT WEE NAM,CCR,p-c9e1adf74
52.0,16-20,Condominium,11,Strata,Freehold,LINCOLN ROAD,PARK INFINIA AT WEE NAM,CCR,p-689ff6336
136.0,01-05,Condominium,11,Strata,Freehold,LINCOLN ROAD,PARK INFINIA AT WEE NAM,CCR,p-053a4019b
90.0,31-35,Condominium,11,Strata,Freehold,LINCOLN ROAD,PARK INFINIA AT WEE NAM,CCR,p-fa49a50cb
124.0,06-10,Condominium,11,Strata,Freehold,LINCOLN ROAD,PARK INFINIA AT WEE NAM,CCR,p-c5973bb31
124.0,21-25,Condominium,11,Strata,Freehold,LINCOLN ROAD,PARK INFINIA AT WEE NAM,CCR,p-352e9acd5
124.0,26-30,Condominium,11,Strata,Freehold,LINCOLN ROAD,PARK INFINIA AT WEE NAM,CCR,p-bf887c1f0
93.0,11-15,Condominium,11,Strata,Freehold,LINCOLN ROAD,PARK INFINIA AT WEE NAM,CCR,p-67ff4354a
83.0,16-20,Condominium,11,Strata,Freehold,LINCOLN ROAD,PARK INFINIA AT WEE NAM,CCR,p-24f92a409
79.0,26-30,Condominium,11,Strata,Freehold,LINCOLN ROAD,PARK INFINIA AT WEE NAM,CCR,p-c87e64dc1
132.0,26-30,Condominium,11,Strata,Freehold,LINCOLN ROAD,PARK INFINIA AT WEE NAM,CCR,p-60e0b44fa
136.0,06-10,Condominium,11,Strata,Freehold,LINCOLN ROAD,PARK INFINIA AT WEE NAM,CCR,p-e528654f3
105.0,11-15,Condominium,11,Strata,Freehold,LINCOLN ROAD,PARK INFINIA AT WEE NAM,CCR,p-e39fa5dc9
124.0,01-05,Condominium,11,Strata,Freehold,LINCOLN ROAD,PARK INFINIA AT WEE NAM,CCR,p-050d57282
147.0,21-25,Condominium,11,Strata,Freehold,LINCOLN ROAD,PARK INFINIA AT WEE NAM,CCR,p-602c169ff
134.0,06-10,Condominium,11,Strata,Freehold,LINCOLN ROAD,PARK INFINIA AT WEE NAM,CCR,p-0407a9f39
93.0,16-20,Condominium,11,Strata,Freehold,LINCOLN ROAD,PARK INFINIA AT WEE NAM,CCR,p-668b7c4c5
186.0,16-20,Condominium,11,Strata,Freehold,LINCOLN ROAD,PARK INFINIA AT WEE NAM,CCR,p-68a77db59
52.0,01-05,Condominium,11,Strata,Freehold,LINCOLN ROAD,PARK INFINIA AT WEE NAM,CCR,p-73bcce9b1
157.0,16-20,Condominium,11,Strata,Freehold,LINCOLN ROAD,PARK INFINIA AT WEE NAM,CCR,p-e6ea1246f
147.0,01-05,Condominium,11,Strata,Freehold,LINCOLN ROAD,PARK INFINIA AT WEE NAM,CCR,p-936f0b210
90.0,06-10,Condominium,11,Strata,Freehold,LINCOLN ROAD,PARK INFINIA AT WEE NAM,CCR,p-b05019eaf
157.0,21-25,Condominium,11,Strata,Freehold,LINCOLN ROAD,PARK INFINIA AT WEE NAM,CCR,p-f24427d91
83.0,26-30,Condominium,11,Strata,Freehold,LINCOLN ROAD,PARK INFINIA AT WEE NAM,CCR,p-996b2da2a
105.0,06-10,Condominium,11,Strata,Freehold,LINCOLN ROAD,PARK INFINIA AT WEE NAM,CCR,p-841228c83
136.0,11-15,Condominium,11,Strata,Freehold,LINCOLN ROAD,PARK INFINIA AT WEE NAM,CCR,p-accb06703
136.0,21-25,Condominium,11,Strata,Freehold,LINCOLN ROAD,PARK INFINIA AT WEE NAM,CCR,p-25261d535
134.0,01-05,Condominium,11,Strata,Freehold,LINCOLN ROAD,PARK INFINIA AT WEE NAM,CCR,p-82e3d315b
83.0,01-05,Condominium,11,Strata,Freehold,LINCOLN ROAD,PARK INFINIA AT WEE NAM,CCR,p-24aa20277
105.0,26-30,Condominium,11,Strata,Freehold,LINCOLN ROAD,PARK INFINIA AT WEE NAM,CCR,p-4b925e991
52.0,11-15,Condominium,11,Strata,Freehold,LINCOLN ROAD,PARK INFINIA AT WEE NAM,CCR,p-dd38ca36c
93.0,06-10,Condominium,11,Strata,Freehold,LINCOLN ROAD,PARK INFINIA AT WEE NAM,CCR,p-e88ef9a38
134.0,21-25,Condominium,11,Strata,Freehold,LINCOLN ROAD,PARK INFINIA AT WEE NAM,CCR,p-59b057968
52.0,21-25,Condominium,11,Strata,Freehold,LINCOLN ROAD,PARK INFINIA AT WEE NAM,CCR,p-2596579a8
305.0,26-30,Condominium,11,Strata,Freehold,LINCOLN ROAD,PARK INFINIA AT WEE NAM,CCR,p-2bb114ebe
155.0,26-30,Condominium,11,Strata,Freehold,LINCOLN ROAD,PARK INFINIA AT WEE NAM,CCR,p-2b79bbead
93.0,21-25,Condominium,11,Strata,Freehold,LINCOLN ROAD,PARK INFINIA AT WEE NAM,CCR,p-d52a913e5
52.0,26-30,Condominium,11,Strata,Freehold,LINCOLN ROAD,PARK INFINIA AT WEE NAM,CCR,p-1e5d0c143
308.0,26-30,Condominium,11,Strata,Freehold,LINCOLN ROAD,PARK INFINIA AT WEE NAM,CCR,p-d35ad5671
103.0,06-10,Apartment,14,Strata,Freehold,LORONG 25A GEYLANG,ENG APARTMENTS,RCR,p-926a8c9b8
260.0,01-05,Condominium,10,Strata,Freehold,FARRER ROAD,SUTTON PLACE,CCR,p-a2d77aaf2
295.0,01-05,Condominium,10,Strata,Freehold,FARRER ROAD,SUTTON PLACE,CCR,p-f2da393d3
284.0,01-05,Condominium,10,Strata,Freehold,FARRER ROAD,SUTTON PLACE,CCR,p-0067f927f
126.0,01-05,Condominium,10,Strata,Freehold,FARRER ROAD,SUTTON PLACE,CCR,p-4d91e66d8
264.0,01-05,Condominium,10,Strata,Freehold,FARRER ROAD,SUTTON PLACE,CCR,p-e3d55e02d
150.0,01-05,Condominium,10,Strata,Freehold,FARRER ROAD,SUTTON PLACE,CCR,p-a598ee056
128.0,01-05,Apartment,14,Strata,Freehold,GEYLANG ROAD,EVER LODGE,RCR,p-58091653d
109.0,06-10,Apartment,13,Strata,Freehold,WOODLEIGH CLOSE,PARC MONDRIAN,RCR,p-1fae9d7a0
130.0,06-10,Apartment,13,Strata,Freehold,WOODLEIGH CLOSE,PARC MONDRIAN,RCR,p-6515731e0
110.0,01-05,Apartment,13,Strata,Freehold,WOODLEIGH CLOSE,PARC MONDRIAN,RCR,p-1122ecb19
130.0,01-05,Apartment,13,Strata,Freehold,WOODLEIGH CLOSE,PARC MONDRIAN,RCR,p-a673a8b11
87.0,06-10,Apartment,13,Strata,Freehold,WOODLEIGH CLOSE,PARC MONDRIAN,RCR,p-0c8203d25
84.0,06-10,Apartment,13,Strata,Freehold,WOODLEIGH CLOSE,PARC MONDRIAN,RCR,p-b85fbdabb
109.0,11-15,Apartment,13,Strata,Freehold,WOODLEIGH CLOSE,PARC MONDRIAN,RCR,p-58697a5a8
111.0,11-15,Apartment,13,Strata,Freehold,WOODLEIGH CLOSE,PARC MONDRIAN,RCR,p-b8e354664
87.0,01-05,Apartment,13,Strata,Freehold,WOODLEIGH CLOSE,PARC MONDRIAN,RCR,p-e851d50ad
129.0,01-05,Apartment,13,Strata,Freehold,WOODLEIGH CLOSE,PARC MONDRIAN,RCR,p-f63c94293
126.0,01-05,Apartment,13,Strata,Freehold,WOODLEIGH CLOSE,PARC MONDRIAN,RCR,p-88fb67886
110.0,11-15,Apartment,13,Strata,Freehold,WOODLEIGH CLOSE,PARC MONDRIAN,RCR,p-dc1dc995d
84.0,11-15,Apartment,13,Strata,Freehold,WOODLEIGH CLOSE,PARC MONDRIAN,RCR,p-4ba7d4e0d
230.0,-,Strata Terrace,13,Strata,Freehold,CROUCHER ROAD,MEIHE GARDENS,OCR,p-d240881cc
78.0,06-10,Apartment,12,Strata,Freehold,BALESTIER ROAD,THE MEZZO,RCR,p-9f9827016
78.0,16-20,Apartment,12,Strata,Freehold,BALESTIER ROAD,THE MEZZO,RCR,p-9f36507f6
151.0,26-30,Apartment,12,Strata,Freehold,BALESTIER ROAD,THE MEZZO,RCR,p-923aa0426
78.0,21-25,Apartment,12,Strata,Freehold,BALESTIER ROAD,THE MEZZO,RCR,p-4e066b373
78.0,26-30,Apartment,12,Strata,Freehold,BALESTIER ROAD,THE MEZZO,RCR,p-c5201e5c5
52.0,11-15,Apartment,12,Strata,Freehold,BALESTIER ROAD,THE MEZZO,RCR,p-f6ca3fd1d
52.0,26-30,Apartment,12,Strata,Freehold,BALESTIER ROAD,THE MEZZO,RCR,p-7f6429118
78.0,11-15,Apartment,12,Strata,Freehold,BALESTIER ROAD,THE MEZZO,RCR,p-25bee8781
52.0,21-25,Apartment,12,Strata,Freehold,BALESTIER ROAD,THE MEZZO,RCR,p-5fb9fa15b
52.0,16-20,Apartment,12,Strata,Freehold,BALESTIER ROAD,THE MEZZO,RCR,p-32a733243
72.0,16-20,Apartment,12,Strata,Freehold,BALESTIER ROAD,THE MEZZO,RCR,p-084e0619d
145.0,26-30,Apartment,12,Strata,Freehold,BALESTIER ROAD,THE MEZZO,RCR,p-9076ed3a0
181.0,01-05,Apartment,10,Strata,Freehold,HOLLAND ROAD,HOLLAND COURT,CCR,p-6616ab769
52.0,01-05,Apartment,14,Strata,Freehold,GUILLEMARD ROAD,GUILLEMARD SUITES,RCR,p-9697b40b4
38.0,01-05,Apartment,14,Strata,Freehold,GUILLEMARD ROAD,GUILLEMARD SUITES,RCR,p-c50722fb0
67.0,01-05,Apartment,14,Strata,Freehold,GUILLEMARD ROAD,GUILLEMARD SUITES,RCR,p-07f5a7950
50.0,01-05,Apartment,14,Strata,Freehold,GUILLEMARD ROAD,GUILLEMARD SUITES,RCR,p-e28334323
59.0,01-05,Apartment,14,Strata,Freehold,GUILLEMARD ROAD,GUILLEMARD SUITES,RCR,p-dada17b0c
49.0,01-05,Apartment,14,Strata,Freehold,GUILLEMARD ROAD,GUILLEMARD SUITES,RCR,p-b42e9a5bf
104.0,01-05,Apartment,14,Strata,Freehold,GUILLEMARD ROAD,GUILLEMARD SUITES,RCR,p-04b058069
61.0,01-05,Apartment,14,Strata,Freehold,GUILLEMARD ROAD,GUILLEMARD SUITES,RCR,p-3bba2a3dd
53.0,01-05,Apartment,14,Strata,Freehold,GUILLEMARD ROAD,GUILLEMARD SUITES,RCR,p-6385dcb83
79.0,01-05,Apartment,14,Strata,Freehold,GUILLEMARD ROAD,GUILLEMARD SUITES,RCR,p-912c3264f
57.0,01-05,Apartment,14,Strata,Freehold,GUILLEMARD ROAD,GUILLEMARD SUITES,RCR,p-3d0f466e9
56.0,01-05,Apartment,14,Strata,Freehold,GUILLEMARD ROAD,GUILLEMARD SUITES,RCR,p-3a508778b
71.0,01-05,Apartment,14,Strata,Freehold,GUILLEMARD ROAD,GUILLEMARD SUITES,RCR,p-e6d741782
46.0,01-05,Apartment,14,Strata,Freehold,GUILLEMARD ROAD,GUILLEMARD SUITES,RCR,p-f408ed26f
111.0,01-05,Apartment,12,Strata,Freehold,JALAN KEMAMAN,RESIDENTIAL APARTMENTS,RCR,p-addecc7b2
90.0,06-10,Apartment,11,Strata,Freehold,MOULMEIN ROAD,THE HUNTINGTON,CCR,p-d5faad29a
107.0,01-05,Apartment,11,Strata,Freehold,MOULMEIN ROAD,THE HUNTINGTON,CCR,p-dec4cf9cd
97.0,01-05,Apartment,11,Strata,Freehold,MOULMEIN ROAD,THE HUNTINGTON,CCR,p-ff23a8a62
620.2,-,Semi-detached,10,Land,999 yrs lease commencing from 1875,CORONATION ROAD WEST,CORONATION WEST PARK,CCR,p-5a03b232c
202.0,01-05,Apartment,8,Strata,Freehold,RACE COURSE ROAD,RESIDENTIAL APARTMENTS,RCR,p-29fd4b1a2
220.0,01-05,Apartment,8,Strata,Freehold,RACE COURSE ROAD,RESIDENTIAL APARTMENTS,RCR,p-04bab9842
601.0,-,Strata Semi-detached,11,Strata,Freehold,CHANCERY HILL ROAD,CHANCERY HILL VILLAS,CCR,p-01960df5e
525.0,-,Strata Semi-detached,11,Strata,Freehold,CHANCERY HILL ROAD,CHANCERY HILL VILLAS,CCR,p-1622174dc
47.0,01-05,Apartment,8,Strata,Freehold,RACE COURSE ROAD,SOHO @ FARRER,RCR,p-61a1b7c9b
45.0,01-05,Apartment,8,Strata,Freehold,RACE COURSE ROAD,SOHO @ FARRER,RCR,p-19527c65d
